customer_id,risk_segment,churn_probability,likely_drivers,recommended_action,retention_priority
3466-BYAVD,low,0.1662999987602234,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3780-YVMFA,low,0.37770000100135803,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3874-EQOEP,medium,0.6787999868392944,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
1679-JRFBR,low,0.24699999392032623,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
9073-ZZIAY,low,0.023099999874830246,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
3077-RSNTJ,low,0.11320000141859055,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6551-GNYDG,medium,0.5286999940872192,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9167-APMXZ,medium,0.4749000072479248,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
2749-CTKAJ,low,0.03539999946951866,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6371-NZYEG,low,0.02370000071823597,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7554-NEWDD,low,0.019099999219179153,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
8992-VONJD,low,0.3483999967575073,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
0867-MKZVY,low,0.350600004196167,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
4482-EWFMI,medium,0.6395000219345093,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
4648-YPBTM,low,0.02459999918937683,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
2907-ILJBN,low,0.03799999877810478,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6345-FZOQH,low,0.009499999694526196,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3376-BMGFE,medium,0.5764999985694885,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5997-OPVFA,low,0.00930000003427267,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
3445-HXXGF,low,0.30469998717308044,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
1159-WFSGR,low,0.1039000004529953,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7654-YWJUF,low,0.06970000267028809,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
1875-QIVME,high,0.7455999851226807,payments,"Contact within 48 hours. Primary playbook: Review billing friction, failed payments, discounts, or plan-fit issues.",1
6727-IOTLZ,low,0.025200000032782555,payments,Monitor monthly and reinforce the strongest positive behavior: payments.,3
0691-JVSYA,low,0.14429999887943268,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
5918-VUKWP,low,0.029200000688433647,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
1744-JHKYS,low,0.08150000125169754,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2656-FMOKZ,medium,0.5170999765396118,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
2070-FNEXE,medium,0.4659000039100647,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5947-SGKCL,medium,0.5681999921798706,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
3712-PKXZA,low,0.02239999920129776,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6317-YPKDH,medium,0.535099983215332,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
6582-OIVSP,medium,0.52920001745224,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
9367-WXLCH,medium,0.6481999754905701,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5524-KHNJP,low,0.06710000336170197,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
1918-ZBFQJ,medium,0.6420000195503235,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
1024-GUALD,medium,0.6791999936103821,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
4827-USJHP,low,0.24210000038146973,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
8167-GJLRN,medium,0.4431000053882599,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
0956-SYCWG,low,0.037300001829862595,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
8017-UVSZU,low,0.1850000023841858,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7100-FQPRV,low,0.07970000058412552,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
2472-OVKUP,high,0.7111999988555908,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
2984-RGEYA,low,0.012400000356137753,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9680-NIAUV,low,0.02459999918937683,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
2146-EGVDT,low,0.007400000002235174,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2604-IJPDU,medium,0.5241000056266785,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
9178-JHUVJ,low,0.014800000004470348,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6168-YBYNP,medium,0.4106999933719635,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
7255-SSFBC,low,0.03350000083446503,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
3645-DEYGF,low,0.28610000014305115,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9323-HGFWY,low,0.27219998836517334,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
8544-GOQSH,medium,0.4828000068664551,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
3363-DTIVD,low,0.07530000060796738,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
7018-WBJNK,medium,0.527999997138977,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9142-KZXOP,low,0.24959999322891235,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7674-YTAFD,low,0.1290999948978424,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
6348-SNFUS,low,0.007400000002235174,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
1285-OKIPP,high,0.8230999708175659,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
7825-ECJRF,medium,0.4925000071525574,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
1347-KTTTA,low,0.18559999763965607,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
7841-TZDMQ,medium,0.5514000058174133,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
4195-NZGTA,medium,0.6008999943733215,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
7157-SMCFK,low,0.013399999588727951,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4709-LKHYG,low,0.03189999982714653,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2504-DSHIH,medium,0.41920000314712524,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
0699-NDKJM,low,0.09139999747276306,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
9286-BHDQG,low,0.010400000028312206,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
