customer_id,plan,usage,payments,support_tickets,months_active,failed_payments,nps_score,discount_percent,churned
CUST-00132,Enterprise,151.13,24,0,32,0,9.7,0,0
CUST-00133,Pro,84.36,30,1,38,0,10.0,0,0
CUST-00134,Basic,51.02,36,3,36,0,7.8,0,0
CUST-00135,Pro,69.7,26,5,29,1,6.2,0,1
CUST-00136,Basic,15.85,2,1,3,0,9.7,20,0
CUST-00137,Enterprise,160.37,34,1,35,0,9.3,0,0
CUST-00138,Pro,73.27,13,5,18,0,6.2,0,0
CUST-00139,Pro,131.31,28,0,35,0,7.8,0,1
CUST-00140,Basic,58.92,20,2,26,0,8.7,20,0
CUST-00141,Pro,105.29,44,4,42,0,9.4,0,0
CUST-00142,Pro,77.7,15,2,16,0,7.7,5,0
CUST-00143,Enterprise,172.4,40,2,44,0,10.0,0,1
CUST-00144,Pro,117.9,28,0,40,0,5.8,0,0
CUST-00145,Pro,94.32,12,3,16,0,7.5,5,0
CUST-00146,Basic,23.56,21,4,23,0,6.3,0,1
CUST-00147,Basic,46.76,21,2,25,1,5.7,5,0
CUST-00148,Pro,68.33,38,2,37,0,10.0,0,0
CUST-00149,Basic,59.31,32,1,33,1,7.3,5,0
CUST-00150,Basic,76.42,35,1,41,0,7.5,10,0
CUST-00151,Pro,80.56,17,3,18,0,7.5,5,0
CUST-00152,Enterprise,197.1,25,1,24,0,6.4,0,0
CUST-00153,Basic,22.24,18,4,21,0,5.2,5,1
CUST-00154,Pro,116.41,40,1,43,2,9.2,20,0
CUST-00155,Basic,38.66,15,1,15,0,6.6,0,0
CUST-00156,Pro,88.39,22,5,28,1,5.0,0,1
CUST-00157,Basic,24.74,6,3,6,1,8.4,10,1
CUST-00158,Pro,107.33,29,3,40,0,9.9,0,0
CUST-00159,Pro,101.76,18,3,19,0,8.5,5,0
CUST-00160,Pro,113.9,17,1,17,0,7.8,10,0
CUST-00161,Basic,50.96,26,1,28,0,7.4,0,0
CUST-00162,Enterprise,181.28,21,0,24,0,8.5,5,0
CUST-00163,Basic,44.77,37,3,40,0,5.4,5,0
CUST-00164,Basic,53.29,19,5,25,1,4.2,0,1
CUST-00165,Pro,78.18,19,3,25,0,6.4,10,0
CUST-00166,Basic,47.73,4,2,5,0,5.7,0,0
CUST-00167,Pro,115.39,2,1,2,0,6.1,0,0
CUST-00168,Pro,86.5,16,2,19,0,8.2,10,1
CUST-00169,Basic,24.23,37,3,47,1,6.6,0,0
CUST-00170,Enterprise,165.93,44,4,44,0,10.0,10,0
CUST-00171,Basic,68.37,25,4,30,2,4.9,0,0
CUST-00172,Pro,112.96,26,0,30,1,8.9,0,0
CUST-00173,Basic,45.18,16,2,19,1,7.4,0,1
CUST-00174,Enterprise,164.66,7,3,9,0,8.1,5,0
CUST-00175,Basic,37.62,1,0,1,1,8.7,10,0
CUST-00176,Basic,57.72,14,3,16,0,8.4,10,0
CUST-00177,Basic,53.65,11,2,15,1,7.5,20,0
CUST-00178,Enterprise,176.99,10,2,10,0,8.6,5,1
CUST-00179,Enterprise,156.56,13,3,13,0,7.8,10,0
CUST-00180,Pro,87.49,2,3,2,0,5.4,0,1
CUST-00181,Enterprise,161.17,29,2,29,0,7.5,10,0
CUST-00182,Enterprise,169.37,45,2,44,0,7.9,5,0
CUST-00183,Pro,132.02,27,2,33,1,6.2,10,0
CUST-00184,Basic,45.09,20,3,22,0,7.7,0,0
CUST-00185,Pro,106.29,18,1,20,0,10.0,0,0
CUST-00186,Pro,85.13,12,3,15,0,6.1,5,0
CUST-00187,Basic,17.14,5,3,7,1,6.6,0,1
CUST-00188,Basic,49.9,21,2,29,1,5.3,0,1
CUST-00189,Pro,123.95,25,1,27,0,8.2,20,0
CUST-00190,Basic,36.69,1,1,1,1,6.0,0,1
CUST-00191,Enterprise,123.39,19,4,20,1,8.1,0,0
CUST-00192,Basic,27.93,11,4,14,1,4.9,0,0
CUST-00193,Basic,68.18,7,0,9,0,10.0,0,0
CUST-00194,Pro,96.15,29,3,34,0,7.3,5,0
CUST-00195,Basic,11.49,22,3,25,1,5.1,10,1
CUST-00196,Basic,82.47,31,3,30,0,5.5,20,0
CUST-00197,Pro,114.48,34,2,34,0,8.6,5,0
CUST-00198,Enterprise,181.64,48,2,47,0,10.0,5,0
CUST-00199,Basic,53.31,38,1,38,1,7.8,0,0
CUST-00200,Basic,70.08,31,2,30,0,10.0,10,0
CUST-00201,Pro,99.64,36,2,42,0,10.0,0,0
CUST-00202,Enterprise,173.17,16,6,23,2,6.1,0,1
CUST-00203,Pro,114.86,34,6,47,1,5.8,20,1
CUST-00204,Basic,60.4,30,2,36,1,7.8,10,0
CUST-00205,Basic,56.32,24,1,31,2,5.5,0,0
CUST-00206,Basic,63.55,33,0,43,0,10.0,5,0
CUST-00207,Basic,60.52,26,4,25,0,7.4,0,1
CUST-00208,Pro,88.82,26,1,34,0,8.7,0,0
CUST-00209,Basic,1.0,15,5,14,0,6.9,0,0
CUST-00210,Pro,128.46,44,0,46,0,10.0,0,0
CUST-00211,Pro,112.16,28,1,30,1,8.3,0,0
CUST-00212,Pro,111.34,35,3,37,0,7.7,0,0
CUST-00213,Basic,48.54,18,3,22,0,9.5,0,0
CUST-00214,Pro,100.53,38,3,41,0,9.3,0,0
CUST-00215,Pro,87.17,3,3,4,0,7.0,20,0
CUST-00216,Pro,76.18,6,2,6,0,7.8,5,0
CUST-00217,Basic,34.23,19,3,24,1,6.7,10,1
CUST-00218,Basic,49.49,28,2,35,0,8.0,0,0
CUST-00219,Enterprise,214.27,37,1,39,0,7.7,5,0
CUST-00220,Basic,13.47,20,1,21,1,4.4,10,1
CUST-00221,Basic,56.1,27,4,31,1,4.9,0,0
CUST-00222,Pro,64.78,24,2,26,0,6.1,0,1
CUST-00223,Pro,111.05,35,2,46,0,7.2,0,1
CUST-00224,Enterprise,165.09,29,0,31,0,10.0,0,0
CUST-00225,Basic,1.0,16,4,20,0,5.8,0,1
CUST-00226,Enterprise,186.8,37,3,46,1,8.6,0,0
CUST-00227,Basic,17.76,5,4,6,1,3.9,0,1
CUST-00228,Pro,71.71,38,4,47,0,6.3,5,1
CUST-00229,Pro,91.71,7,3,8,0,8.5,0,0
CUST-00230,Basic,62.03,12,2,14,1,8.0,0,0
CUST-00231,Basic,81.12,30,4,39,1,5.5,5,0
CUST-00232,Basic,61.56,27,2,35,0,7.8,0,0
CUST-00233,Enterprise,187.23,41,0,46,1,10.0,0,0
CUST-00234,Pro,123.51,27,4,36,0,7.6,0,0
CUST-00235,Enterprise,200.08,28,1,30,0,8.5,0,0
CUST-00236,Pro,109.5,18,1,17,0,8.2,0,0
CUST-00237,Pro,57.75,1,1,1,0,8.0,0,1
CUST-00238,Pro,80.62,6,2,6,1,7.1,0,0
CUST-00239,Basic,37.51,10,5,14,1,5.7,20,0
CUST-00240,Basic,1.0,1,1,2,0,4.9,10,0
CUST-00241,Pro,103.85,23,1,24,0,6.9,0,0
CUST-00242,Pro,145.81,36,2,37,0,8.4,0,0
CUST-00243,Basic,78.72,46,1,46,1,7.4,0,0
CUST-00244,Pro,121.92,17,1,24,0,7.8,10,0
CUST-00245,Pro,112.69,41,2,42,1,7.4,10,0
CUST-00246,Enterprise,179.38,39,3,47,0,8.8,0,0
CUST-00247,Pro,104.36,33,7,41,0,7.8,0,0
CUST-00248,Basic,33.12,17,0,22,0,7.8,0,0
CUST-00249,Basic,18.45,17,3,16,1,6.8,10,1
CUST-00250,Basic,87.79,33,2,46,0,7.0,10,0
CUST-00251,Pro,98.3,12,6,12,0,7.5,0,0
CUST-00252,Enterprise,142.96,18,1,20,0,9.5,5,0
CUST-00253,Pro,88.22,4,4,4,0,8.6,0,0
CUST-00254,Basic,58.43,36,1,38,0,9.0,5,1
CUST-00255,Basic,62.02,31,0,31,0,9.2,10,0
CUST-00256,Pro,79.08,3,4,4,1,6.4,0,1
CUST-00257,Pro,99.4,8,2,11,0,8.4,0,0
CUST-00258,Basic,49.39,25,2,27,0,9.1,5,0
CUST-00259,Basic,72.38,21,2,26,0,6.7,0,0
CUST-00260,Pro,109.17,28,3,38,0,6.8,10,0
CUST-00261,Basic,44.34,10,3,13,0,7.3,0,1
CUST-00262,Pro,96.2,36,2,44,0,8.7,10,0
CUST-00263,Basic,81.36,15,2,21,0,6.5,0,0
CUST-00264,Basic,67.16,28,2,39,0,7.5,0,0
CUST-00265,Enterprise,168.63,12,0,12,1,9.0,0,0
CUST-00266,Basic,1.0,2,3,2,0,2.9,0,0
CUST-00267,Basic,13.69,3,1,3,0,7.0,0,0
CUST-00268,Basic,55.48,19,5,18,1,5.7,5,1
CUST-00269,Basic,67.06,34,3,45,1,6.5,0,0
CUST-00270,Basic,1.0,3,1,3,1,8.9,0,1
CUST-00271,Basic,58.49,16,2,18,0,5.6,0,0
CUST-00272,Basic,14.81,6,4,6,0,5.0,0,1
CUST-00273,Basic,90.8,32,1,44,0,4.1,10,0
CUST-00274,Pro,101.02,25,1,32,0,7.6,20,0
CUST-00275,Pro,107.68,26,2,36,0,7.5,0,0
CUST-00276,Basic,75.42,31,2,34,0,6.9,10,0
CUST-00277,Basic,35.35,32,2,31,0,9.0,5,0
CUST-00278,Pro,82.63,35,4,37,0,8.5,20,0
CUST-00279,Enterprise,142.36,1,0,1,0,9.4,0,0
CUST-00280,Enterprise,194.59,43,1,41,0,9.0,0,0
CUST-00281,Basic,31.14,33,2,35,1,8.3,0,0
CUST-00282,Basic,16.28,25,6,35,1,5.1,10,0
CUST-00283,Basic,53.33,19,3,19,0,5.8,5,0
CUST-00284,Basic,46.95,31,2,38,0,4.6,0,0
CUST-00285,Pro,76.34,13,4,18,0,6.3,0,1
CUST-00286,Basic,1.0,3,3,3,0,7.7,5,1
CUST-00287,Basic,39.08,44,7,43,1,8.7,10,0
CUST-00288,Basic,34.26,9,2,12,0,7.3,0,1
CUST-00289,Pro,90.65,4,3,5,0,6.4,5,1
CUST-00290,Basic,32.32,23,4,30,0,4.6,0,0
CUST-00291,Pro,109.13,8,3,11,0,8.7,0,0
CUST-00292,Basic,48.18,30,2,41,0,4.6,0,0
CUST-00293,Enterprise,149.4,20,1,21,0,9.9,10,0
CUST-00294,Basic,52.17,1,2,1,2,7.8,20,0
CUST-00295,Pro,115.91,34,2,45,0,8.9,0,0
CUST-00296,Enterprise,155.36,20,1,25,0,8.7,0,0
CUST-00297,Enterprise,147.31,10,3,13,0,9.2,0,0
CUST-00298,Pro,122.56,23,3,32,0,8.3,0,0
CUST-00299,Pro,124.89,22,0,25,0,7.8,0,0
CUST-00300,Pro,52.1,2,5,2,0,9.4,0,1
CUST-00301,Pro,103.24,33,2,36,0,7.5,0,1
CUST-00302,Basic,37.92,16,4,19,0,7.8,0,0
CUST-00303,Pro,79.15,30,4,33,0,3.2,0,0
CUST-00304,Pro,111.5,32,1,43,0,10.0,10,0
CUST-00305,Enterprise,171.2,22,0,29,0,10.0,0,0
CUST-00306,Pro,125.32,33,0,32,0,9.1,5,0
CUST-00307,Basic,58.33,12,1,12,1,8.3,10,1
CUST-00308,Pro,76.47,12,2,12,0,8.6,5,0
CUST-00309,Basic,28.95,20,6,20,0,4.7,0,1
CUST-00310,Basic,72.46,38,2,41,1,8.1,0,0
CUST-00311,Pro,83.57,26,2,25,0,6.6,5,0
CUST-00312,Basic,49.5,14,2,17,0,6.4,0,0
CUST-00313,Basic,55.32,26,2,37,0,9.3,0,0
CUST-00314,Basic,43.05,30,2,41,1,8.4,0,0
CUST-00315,Basic,40.68,32,4,43,0,5.5,0,0
CUST-00316,Basic,58.75,11,4,15,1,5.2,0,0
CUST-00317,Basic,49.18,28,3,34,1,5.5,5,0
CUST-00318,Pro,126.33,26,2,28,0,9.6,0,0
CUST-00319,Basic,34.15,21,2,22,2,4.6,0,1
CUST-00320,Enterprise,167.34,17,0,19,0,10.0,10,0
CUST-00321,Enterprise,186.87,5,3,6,1,9.5,0,0
CUST-00322,Pro,59.87,13,4,13,1,6.2,5,1
CUST-00323,Basic,12.84,21,2,26,1,8.1,0,0
CUST-00324,Pro,128.16,30,4,42,0,7.2,0,0
CUST-00325,Pro,93.62,33,2,41,1,7.1,10,1
CUST-00326,Pro,81.53,7,1,9,0,6.6,0,0
CUST-00327,Pro,94.25,25,0,32,0,10.0,0,0
CUST-00328,Pro,77.83,4,3,4,0,6.2,10,1
CUST-00329,Pro,85.49,31,1,32,1,8.3,5,0
CUST-00330,Basic,33.46,16,3,17,0,6.8,5,0
CUST-00331,Pro,97.3,16,3,22,1,5.5,0,0
CUST-00332,Basic,29.45,33,5,34,1,4.6,0,1
CUST-00333,Pro,79.2,19,1,20,1,9.9,5,0
CUST-00334,Enterprise,172.95,29,0,38,0,10.0,0,0
CUST-00335,Basic,10.28,24,7,26,1,3.1,0,1
CUST-00336,Pro,104.09,41,3,47,0,8.2,10,0
CUST-00337,Basic,46.14,26,5,30,2,5.1,0,1
CUST-00338,Pro,72.61,10,4,14,1,10.0,0,0
CUST-00339,Basic,52.02,33,2,37,0,7.9,0,0
CUST-00340,Enterprise,162.64,15,0,20,0,8.9,0,0
CUST-00341,Basic,35.2,20,2,26,0,9.5,5,0
CUST-00342,Enterprise,163.74,5,0,7,1,6.1,10,0
CUST-00343,Pro,102.85,6,2,6,0,8.2,0,0
CUST-00344,Pro,90.64,22,1,28,0,10.0,0,0
CUST-00345,Pro,88.43,7,2,9,0,7.7,0,0
CUST-00346,Pro,113.99,38,0,47,0,6.2,0,0
CUST-00347,Enterprise,186.28,42,1,41,0,8.8,0,0
CUST-00348,Basic,81.48,30,2,33,0,10.0,10,0
CUST-00349,Pro,112.26,36,2,35,1,8.3,0,0
CUST-00350,Basic,16.88,23,2,28,0,5.7,0,0
CUST-00351,Pro,82.47,2,2,3,0,6.7,20,0
CUST-00352,Basic,65.09,17,1,19,1,6.6,0,0
CUST-00353,Pro,82.61,20,5,24,0,7.4,20,0
CUST-00354,Pro,129.12,43,2,44,1,10.0,0,0
CUST-00355,Pro,73.48,11,0,11,0,10.0,0,0
CUST-00356,Pro,66.46,21,2,24,0,8.4,10,0
CUST-00357,Pro,82.84,18,5,17,0,4.7,0,1
CUST-00358,Pro,48.48,6,1,7,0,5.6,0,0
CUST-00359,Pro,71.78,4,2,5,0,8.6,0,0
CUST-00360,Pro,110.96,16,2,18,0,6.0,5,0
CUST-00361,Enterprise,114.22,3,0,4,0,8.6,5,1
CUST-00362,Basic,1.0,4,4,4,0,6.6,0,0
CUST-00363,Basic,20.32,13,2,17,0,5.2,5,0
CUST-00364,Basic,24.86,8,5,10,0,4.4,5,0
CUST-00365,Pro,84.92,24,4,27,1,6.5,0,1
CUST-00366,Basic,49.68,1,2,1,0,8.2,0,1
CUST-00367,Pro,97.88,11,4,15,2,8.0,0,1
CUST-00368,Pro,98.11,21,3,22,0,8.6,0,0
CUST-00369,Basic,65.42,33,3,46,0,7.4,0,0
CUST-00370,Enterprise,179.08,26,0,30,0,8.5,0,0
CUST-00371,Pro,91.68,34,3,42,0,5.9,0,0
CUST-00372,Basic,47.73,13,5,17,1,5.0,0,1
CUST-00373,Basic,27.78,17,0,22,0,8.5,5,0
CUST-00374,Basic,56.64,19,2,20,0,8.0,0,1
CUST-00375,Basic,80.55,43,3,42,1,3.6,20,0
CUST-00376,Basic,60.0,34,6,46,1,4.4,10,0
CUST-00377,Enterprise,178.83,48,2,46,1,10.0,5,0
CUST-00378,Basic,63.21,33,2,36,2,6.7,20,0
CUST-00379,Basic,1.0,22,1,24,1,4.4,10,1
CUST-00380,Pro,98.24,25,3,26,1,10.0,0,0
CUST-00381,Pro,116.26,44,0,47,0,8.9,5,0
CUST-00382,Enterprise,154.49,14,1,14,0,9.7,0,0
CUST-00383,Pro,101.82,15,1,17,0,9.1,5,0
CUST-00384,Pro,113.35,38,0,43,0,8.3,0,0
CUST-00385,Basic,20.18,15,2,19,1,5.4,0,1
CUST-00386,Enterprise,148.85,9,2,12,1,10.0,0,1
CUST-00387,Pro,99.32,25,1,27,0,10.0,20,0
CUST-00388,Enterprise,159.27,11,1,16,1,10.0,0,0
CUST-00389,Basic,66.51,33,1,42,2,7.9,0,0
CUST-00390,Enterprise,198.01,32,2,43,0,7.7,0,1
CUST-00391,Pro,61.15,12,4,15,0,8.9,0,0
CUST-00392,Basic,49.26,23,2,25,1,5.6,10,0
CUST-00393,Pro,137.12,43,2,47,1,8.5,10,0
CUST-00394,Pro,71.88,30,2,35,0,5.1,0,0
CUST-00395,Basic,34.53,8,3,11,0,3.6,0,0
CUST-00396,Pro,86.26,24,2,28,0,8.4,0,0
CUST-00397,Pro,96.33,25,0,30,0,7.4,0,0
CUST-00398,Basic,33.01,30,3,31,0,3.7,10,0
CUST-00399,Pro,65.95,2,4,2,0,7.8,5,1
CUST-00400,Basic,68.04,13,3,15,0,10.0,0,1
CUST-00401,Basic,33.34,36,4,41,0,8.7,5,0
CUST-00402,Enterprise,132.55,12,1,12,0,8.4,0,0
CUST-00403,Pro,63.87,14,1,15,0,8.0,5,0
CUST-00404,Basic,69.09,14,2,16,1,8.6,0,0
CUST-00405,Enterprise,144.78,8,0,9,0,10.0,5,0
CUST-00406,Enterprise,149.54,6,1,8,0,8.5,0,0
CUST-00407,Basic,27.25,18,4,17,0,6.5,20,0
CUST-00408,Pro,92.4,34,2,42,0,8.4,0,0
CUST-00409,Basic,24.67,1,0,1,0,8.7,0,0
CUST-00410,Enterprise,199.65,15,1,14,0,9.4,0,0
CUST-00411,Pro,99.36,3,2,3,0,7.8,0,1
CUST-00412,Pro,71.75,19,6,27,0,8.5,0,0
CUST-00413,Basic,48.26,9,1,12,1,9.2,5,0
CUST-00414,Enterprise,162.03,27,1,38,0,9.9,5,0
CUST-00415,Basic,19.03,25,1,28,2,9.1,0,1
CUST-00416,Basic,75.25,27,2,37,1,6.6,5,0
CUST-00417,Basic,73.68,31,1,30,0,10.0,5,0
CUST-00418,Pro,111.53,22,1,21,0,9.4,0,0
CUST-00419,Basic,54.24,37,1,41,0,10.0,0,0
CUST-00420,Enterprise,160.5,21,1,23,0,7.2,0,0
CUST-00421,Pro,125.6,36,2,45,0,7.3,0,0
CUST-00422,Basic,77.35,34,0,47,0,9.1,10,0
CUST-00423,Basic,37.31,27,4,28,0,7.2,10,0
CUST-00424,Basic,18.86,24,4,32,0,9.5,5,1
CUST-00425,Pro,80.95,9,4,13,0,6.0,0,1
CUST-00426,Pro,128.32,32,1,39,1,9.7,5,0
CUST-00427,Basic,30.84,23,2,32,1,8.5,5,0
CUST-00428,Pro,124.0,37,1,43,0,9.8,0,0
CUST-00429,Basic,36.87,12,4,13,0,5.0,10,1
CUST-00430,Pro,119.3,37,2,38,0,10.0,0,0
CUST-00431,Enterprise,179.2,21,1,23,0,10.0,0,0
CUST-00432,Pro,65.0,9,3,9,0,8.2,0,1
CUST-00433,Pro,48.39,8,3,9,0,7.4,0,0
CUST-00434,Pro,86.3,27,2,27,0,8.2,10,0
CUST-00435,Basic,56.2,14,1,16,2,6.7,0,0
CUST-00436,Basic,16.14,4,3,5,1,7.2,0,0
CUST-00437,Basic,25.61,22,4,21,0,6.5,0,1
CUST-00438,Pro,68.92,25,1,31,0,6.7,0,0
CUST-00439,Pro,112.25,11,4,15,0,5.8,0,0
CUST-00440,Pro,126.96,35,2,45,0,7.2,0,0
CUST-00441,Enterprise,187.76,31,2,37,0,9.5,5,0
CUST-00442,Basic,63.52,21,2,25,0,7.6,0,0
CUST-00443,Pro,119.38,39,3,44,0,8.3,10,0
CUST-00444,Basic,35.9,21,3,21,0,7.7,0,1
