customer_id,plan,internet_service,payment_method,usage,payments,support_tickets,months_active,paperless_billing,senior_citizen,churned
8108-UXRQN,Month-to-month,DSL,Electronic check,50.5500,565.3500,2,11,0,0,0
9191-MYQKX,Month-to-month,Fiber optic,Bank transfer (automatic),75.1500,496.9000,2,7,1,0,1
9919-YLNNG,Month-to-month,Fiber optic,Bank transfer (automatic),103.8000,4327.5000,1,42,1,0,0
0318-ZOPWS,Two year,No,Bank transfer (automatic),20.1500,973.3500,0,49,1,0,0
4445-ZJNMU,Month-to-month,Fiber optic,Credit card (automatic),99.3000,918.7500,3,9,1,0,0
4808-YNLEU,One year,DSL,Bank transfer (automatic),62.1500,2215.4500,2,35,1,0,0
1862-QRWPE,Two year,No,Bank transfer (automatic),20.6500,1057.0000,0,48,0,0,0
2796-NNUFI,Two year,No,Mailed check,19.9500,927.1000,0,46,1,0,0
3016-KSVCP,Month-to-month,DSL,Mailed check,33.7500,1009.2500,3,29,0,0,0
4767-HZZHQ,Month-to-month,Fiber optic,Bank transfer (automatic),82.0500,2570.2000,2,30,0,0,0
2424-WVHPL,Month-to-month,Fiber optic,Electronic check,74.7000,74.7000,2,1,0,1,0
7233-PAHHL,Two year,DSL,Mailed check,84.0000,5714.2500,0,66,1,0,0
6067-NGCEU,Month-to-month,Fiber optic,Credit card (automatic),111.0500,7107.0000,1,65,1,0,0
9848-JQJTX,Two year,Fiber optic,Bank transfer (automatic),100.9000,7459.0500,2,72,1,0,0
8637-XJIVR,Month-to-month,Fiber optic,Electronic check,78.9500,927.3500,2,12,1,0,1
9803-FTJCG,One year,DSL,Credit card (automatic),66.8500,4748.7000,1,71,1,0,0
0278-YXOOG,Month-to-month,No,Mailed check,21.0500,113.8500,0,5,0,0,1
3212-KXOCR,Two year,No,Bank transfer (automatic),21.0000,1107.2000,0,52,0,0,0
4598-XLKNJ,Month-to-month,Fiber optic,Electronic check,98.5000,2514.5000,2,25,1,1,1
6380-ARCEH,Month-to-month,No,Mailed check,20.2000,20.2000,0,1,0,0,0
3679-XASPY,Month-to-month,No,Electronic check,19.4500,19.4500,0,1,0,0,0
7123-WQUHX,One year,Fiber optic,Bank transfer (automatic),95.0000,3605.6000,1,38,0,0,0
5386-THSLQ,One year,DSL,Bank transfer (automatic),45.5500,3027.2500,2,66,0,1,0
3192-NQECA,Two year,Fiber optic,Bank transfer (automatic),110.0000,7611.8500,1,68,1,0,1
6180-YBIQI,Month-to-month,DSL,Mailed check,24.3000,100.2000,3,5,0,0,0
6728-DKUCO,One year,Fiber optic,Electronic check,104.1500,7303.0500,2,72,1,0,0
9750-BOOHV,One year,DSL,Mailed check,30.1500,927.6500,2,32,0,0,0
8597-CWYHH,One year,Fiber optic,Mailed check,94.3500,3921.3000,3,43,0,0,0
2848-YXSMW,Two year,No,Credit card (automatic),19.4000,1363.2500,0,72,0,0,0
0486-HECZI,Month-to-month,Fiber optic,Electronic check,96.7500,5238.9000,2,55,1,0,1
4549-ZDQYY,One year,DSL,Credit card (automatic),57.9500,3042.2500,0,52,0,0,0
5712-AHQNN,Month-to-month,Fiber optic,Electronic check,91.6500,3954.1000,2,43,1,0,0
4846-WHAFZ,Month-to-month,Fiber optic,Electronic check,76.5000,2868.1500,3,37,1,1,1
5256-SKJGO,Two year,DSL,Electronic check,54.6000,3423.5000,2,64,1,0,0
3071-VBYPO,Month-to-month,Fiber optic,Electronic check,89.8500,248.4000,2,3,0,0,0
9560-BBZXK,Two year,DSL,Bank transfer (automatic),31.0500,1126.3500,2,36,0,0,0
5299-RULOA,Month-to-month,Fiber optic,Electronic check,100.2500,1064.6500,2,10,1,0,1
8402-OOOHJ,Two year,No,Mailed check,20.6500,835.1500,0,41,0,0,0
9445-ZUEQE,Month-to-month,Fiber optic,Credit card (automatic),85.2000,2151.6000,2,27,1,0,0
1091-SOZGA,One year,Fiber optic,Credit card (automatic),99.8000,5515.4500,2,56,1,0,0
2928-HLDBA,Month-to-month,No,Mailed check,20.7000,112.7500,0,6,0,0,0
0404-SWRVG,Month-to-month,Fiber optic,Electronic check,74.4000,229.5500,3,3,1,0,1
6497-TILVL,Month-to-month,DSL,Mailed check,50.7000,350.3500,2,7,0,0,0
7219-TLZHO,Month-to-month,No,Mailed check,20.8500,62.9000,0,4,0,0,0
4622-YNKIJ,Two year,Fiber optic,Electronic check,88.9500,3027.6500,1,33,1,0,0
4412-YLTKF,Month-to-month,Fiber optic,Electronic check,78.0500,2135.5000,2,27,1,1,1
6734-PSBAW,Two year,No,Bank transfer (automatic),23.5500,1723.9500,0,72,1,0,0
3930-ZGWVE,Month-to-month,No,Mailed check,19.7500,19.7500,0,1,0,0,0
2639-UGMAZ,One year,DSL,Electronic check,56.4500,3985.3500,2,71,1,1,0
2876-GZYZC,Month-to-month,Fiber optic,Electronic check,85.9500,1215.6500,3,13,1,0,0
6207-WIOLX,Month-to-month,DSL,Credit card (automatic),58.6000,1502.6500,1,25,1,0,1
8587-XYZSF,Two year,DSL,Bank transfer (automatic),50.5500,3260.1000,2,67,0,0,0
3091-FYHKI,Month-to-month,DSL,Electronic check,35.4500,35.4500,3,1,1,0,1
2372-HWUHI,Month-to-month,DSL,Electronic check,44.3500,81.2500,3,2,0,0,1
7799-LGRDP,Two year,No,Credit card (automatic),25.7000,1188.2000,0,43,1,0,0
7850-VWJUU,Month-to-month,Fiber optic,Bank transfer (automatic),75.0000,1778.5000,2,23,1,0,0
3774-VBNXY,Two year,No,Mailed check,20.2000,1277.7500,0,64,0,0,0
6217-KDYWC,Two year,No,Mailed check,19.6000,1170.5500,0,57,1,0,0
0390-DCFDQ,Month-to-month,Fiber optic,Mailed check,70.4500,70.4500,3,1,1,1,1
3146-MSEGF,Two year,DSL,Credit card (automatic),88.0500,6425.6500,0,72,1,1,0
4080-OGPJL,Month-to-month,DSL,Electronic check,71.1500,563.6500,1,8,0,0,1
1095-WGNGG,Two year,Fiber optic,Bank transfer (automatic),101.0500,5971.2500,3,61,1,0,0
2636-SJDOU,One year,Fiber optic,Credit card (automatic),84.3000,5289.0500,2,64,1,0,0
1131-QQZEB,Two year,No,Bank transfer (automatic),23.9500,1756.2000,0,71,0,1,0
5716-EZXZN,Two year,Fiber optic,Credit card (automatic),99.0500,6416.7000,1,65,1,0,0
6837-BJYDQ,One year,No,Mailed check,19.6000,61.3500,0,3,0,0,0
2135-RXIHG,Month-to-month,DSL,Electronic check,45.6500,45.6500,3,1,1,0,1
6440-DKQGE,One year,DSL,Credit card (automatic),64.5000,1929.9500,2,30,0,0,0
3466-BYAVD,Month-to-month,DSL,Mailed check,69.5000,1071.4000,1,15,1,0,0
3780-YVMFA,Month-to-month,DSL,Electronic check,68.5500,564.3500,2,8,1,0,0
3874-EQOEP,Month-to-month,Fiber optic,Mailed check,95.0000,655.5000,3,7,0,0,1
1679-JRFBR,One year,Fiber optic,Credit card (automatic),108.1500,7930.5500,1,70,1,0,0
9073-ZZIAY,Two year,DSL,Electronic check,86.1000,5215.2500,0,62,0,0,0
3077-RSNTJ,Month-to-month,No,Mailed check,19.7000,113.5000,0,6,0,0,0
6551-GNYDG,Month-to-month,Fiber optic,Bank transfer (automatic),80.9000,1152.8000,3,14,1,0,0
9167-APMXZ,Month-to-month,Fiber optic,Bank transfer (automatic),84.1500,1821.9500,3,22,1,0,0
2749-CTKAJ,One year,No,Mailed check,20.1500,419.9000,0,22,0,0,0
6371-NZYEG,Two year,DSL,Mailed check,64.2500,1024.0000,1,16,0,0,0
7554-NEWDD,Two year,No,Bank transfer (automatic),25.7000,251.6000,0,10,0,0,0
8992-VONJD,Month-to-month,DSL,Electronic check,56.0000,764.5500,2,13,1,0,0
0867-MKZVY,Month-to-month,Fiber optic,Electronic check,82.4000,1592.3500,2,20,0,0,1
4482-EWFMI,Month-to-month,Fiber optic,Electronic check,69.7000,135.2000,3,2,1,0,0
4648-YPBTM,Two year,DSL,Bank transfer (automatic),73.9000,3958.2500,1,53,1,0,0
2907-ILJBN,One year,No,Mailed check,20.6000,233.9000,0,11,0,0,0
6345-FZOQH,Two year,No,Mailed check,19.9000,1363.4500,0,69,0,0,0
3376-BMGFE,Month-to-month,Fiber optic,Bank transfer (automatic),70.9000,273.0000,3,4,1,0,1
5997-OPVFA,Two year,DSL,Bank transfer (automatic),89.0500,6254.4500,0,72,1,0,0
3445-HXXGF,Month-to-month,DSL,Electronic check,45.3000,2651.2000,2,58,1,1,1
1159-WFSGR,Month-to-month,No,Electronic check,20.4000,321.4000,0,16,0,0,0
7654-YWJUF,One year,Fiber optic,Bank transfer (automatic),84.2500,3539.2500,0,43,1,0,0
1875-QIVME,Month-to-month,Fiber optic,Electronic check,104.4000,242.8000,1,2,1,0,1
6727-IOTLZ,Two year,DSL,Mailed check,81.9500,1181.7500,1,14,0,0,0
0691-JVSYA,One year,Fiber optic,Bank transfer (automatic),94.8500,5000.2000,2,53,1,0,1
5918-VUKWP,One year,No,Bank transfer (automatic),20.5500,654.5500,0,32,0,0,0
1744-JHKYS,Month-to-month,No,Electronic check,24.7000,780.2000,0,34,0,0,0
2656-FMOKZ,Month-to-month,Fiber optic,Mailed check,74.4500,1145.7000,3,15,1,1,1
2070-FNEXE,Month-to-month,Fiber optic,Bank transfer (automatic),76.4500,503.6000,2,7,0,1,1
5947-SGKCL,Month-to-month,Fiber optic,Bank transfer (automatic),105.3500,1559.2500,2,15,1,0,0
3712-PKXZA,One year,No,Credit card (automatic),20.5500,1252.0000,0,61,1,0,0
6317-YPKDH,Month-to-month,DSL,Bank transfer (automatic),29.9500,29.9500,3,1,0,0,1
6582-OIVSP,Month-to-month,DSL,Mailed check,45.3000,45.3000,3,1,0,0,0
9367-WXLCH,Month-to-month,Fiber optic,Bank transfer (automatic),84.5000,662.6500,3,8,0,0,1
5524-KHNJP,One year,DSL,Credit card (automatic),74.7500,2453.3000,1,33,0,0,0
1918-ZBFQJ,Month-to-month,Fiber optic,Electronic check,79.2500,1111.6500,2,13,1,0,1
1024-GUALD,Month-to-month,DSL,Electronic check,24.8000,24.8000,3,1,1,0,1
4827-USJHP,Month-to-month,DSL,Mailed check,51.8000,1023.8500,3,20,1,0,0
8167-GJLRN,Month-to-month,DSL,Electronic check,30.4000,82.1500,2,3,0,0,0
0956-SYCWG,One year,No,Electronic check,19.6500,244.8000,0,13,0,0,0
8017-UVSZU,Month-to-month,DSL,Credit card (automatic),56.6000,2379.1000,3,40,0,0,0
7100-FQPRV,One year,DSL,Credit card (automatic),71.9000,3173.3500,1,43,1,0,0
2472-OVKUP,Month-to-month,Fiber optic,Electronic check,91.0000,531.0000,2,6,1,0,1
2984-RGEYA,Two year,No,Bank transfer (automatic),19.7500,1375.4000,0,69,0,0,0
9680-NIAUV,Two year,Fiber optic,Credit card (automatic),109.7000,8129.3000,1,72,0,0,0
2146-EGVDT,Two year,No,Credit card (automatic),19.3000,1192.7000,0,59,0,0,0
2604-IJPDU,Month-to-month,Fiber optic,Electronic check,96.5500,1901.6500,1,20,1,0,0
9178-JHUVJ,Two year,No,Bank transfer (automatic),24.1000,587.4000,0,24,1,0,0
6168-YBYNP,Month-to-month,Fiber optic,Electronic check,111.3500,6519.7500,1,59,1,0,0
7255-SSFBC,Two year,Fiber optic,Bank transfer (automatic),112.2500,8041.6500,1,72,1,0,0
3645-DEYGF,Month-to-month,No,Mailed check,20.7500,20.7500,0,1,0,0,0
9323-HGFWY,One year,Fiber optic,Credit card (automatic),101.9000,2681.1500,1,27,1,0,0
8544-GOQSH,Month-to-month,Fiber optic,Credit card (automatic),80.0500,1112.3000,2,14,1,0,0
3363-DTIVD,Two year,Fiber optic,Electronic check,105.5500,7405.5000,1,71,0,0,0
7018-WBJNK,Month-to-month,Fiber optic,Credit card (automatic),78.3000,1033.9500,3,13,1,0,0
9142-KZXOP,Month-to-month,Fiber optic,Credit card (automatic),68.8500,2958.9500,3,44,0,0,0
7674-YTAFD,One year,Fiber optic,Bank transfer (automatic),79.9500,2684.8500,2,33,1,0,0
6348-SNFUS,Two year,DSL,Credit card (automatic),55.4500,4179.2000,0,72,1,0,0
1285-OKIPP,Month-to-month,Fiber optic,Electronic check,79.9000,79.9000,3,1,0,0,1
7825-ECJRF,Month-to-month,Fiber optic,Electronic check,106.6000,1934.4500,0,19,1,0,1
1347-KTTTA,One year,Fiber optic,Credit card (automatic),102.4500,6654.1000,1,64,1,0,0
7841-TZDMQ,Month-to-month,DSL,Credit card (automatic),46.0000,84.5000,3,2,1,0,1
4195-NZGTA,Month-to-month,DSL,Electronic check,25.2500,25.2500,3,1,0,0,0
7157-SMCFK,Two year,No,Mailed check,19.7500,1124.2000,0,61,0,0,0
4709-LKHYG,One year,No,Electronic check,20.0000,540.0500,0,29,0,0,0
2504-DSHIH,Month-to-month,Fiber optic,Electronic check,86.8000,1975.8500,3,23,0,1,0
0699-NDKJM,Month-to-month,DSL,Bank transfer (automatic),58.7500,3437.4500,1,57,1,0,0
9286-BHDQG,Two year,DSL,Credit card (automatic),45.2500,3139.8000,0,72,0,0,0
0230-WEQUW,Two year,DSL,Bank transfer (automatic),56.6000,3789.2000,0,66,1,0,0
2040-LDIWQ,Two year,DSL,Bank transfer (automatic),84.2000,5324.5000,1,65,1,0,0
6496-JDSSB,Month-to-month,Fiber optic,Bank transfer (automatic),80.0000,624.6000,3,8,1,0,0
9408-SSNVZ,Month-to-month,Fiber optic,Electronic check,70.1500,268.3500,3,4,1,0,1
4443-EMBNA,Two year,No,Bank transfer (automatic),24.7500,1836.9000,0,71,0,0,0
6469-MRVET,One year,No,Electronic check,20.2000,20.2000,0,1,1,0,0
0742-MOABM,Month-to-month,DSL,Mailed check,50.0500,179.3500,2,4,0,0,1
5961-VUSRV,One year,No,Bank transfer (automatic),19.3500,219.3500,0,12,1,0,0
6778-JFCMK,One year,DSL,Mailed check,50.6000,1288.7500,2,24,1,0,0
6341-JVQGF,One year,DSL,Mailed check,81.1500,2545.7500,0,31,1,0,0
2232-DMLXU,Month-to-month,DSL,Mailed check,55.2000,55.2000,3,1,0,0,1
4811-JBUVU,Month-to-month,Fiber optic,Credit card (automatic),89.9000,2723.1500,2,30,1,0,0
0945-TSONX,Two year,DSL,Credit card (automatic),85.3000,4107.2500,1,47,1,0,0
2651-ZCBXV,Two year,Fiber optic,Credit card (automatic),108.0000,5760.6500,1,54,1,0,0
3316-UWXUY,Month-to-month,Fiber optic,Credit card (automatic),93.5000,4747.5000,1,50,1,0,0
8937-RDTHP,Month-to-month,Fiber optic,Mailed check,84.6000,84.6000,2,1,1,0,1
7083-MIOPC,Two year,No,Credit card (automatic),20.2500,1566.9000,0,72,0,0,0
1984-GPTEH,Month-to-month,No,Electronic check,25.1500,702.0000,0,29,0,0,0
1251-KRREG,Month-to-month,DSL,Mailed check,54.4000,114.1000,3,2,1,0,1
0621-JFHOL,Two year,DSL,Mailed check,29.6000,299.0500,2,10,1,0,0
9903-LYSAB,Month-to-month,Fiber optic,Electronic check,73.1500,1305.9500,3,18,1,0,0
0094-OIFMO,Month-to-month,Fiber optic,Electronic check,95.0000,1120.3000,3,11,1,1,1
9227-UAQFT,Two year,No,Mailed check,19.7500,284.3500,0,16,0,0,0
7301-ABVAD,Two year,DSL,Bank transfer (automatic),86.6000,6350.5000,1,72,0,0,0
6614-FHDBO,Two year,Fiber optic,Bank transfer (automatic),109.2000,7878.3000,1,72,0,0,0
7576-ASEJU,One year,DSL,Credit card (automatic),74.7000,3187.6500,1,41,1,0,0
9058-HRZSV,Month-to-month,Fiber optic,Electronic check,94.4000,6126.1500,1,65,0,1,0
4522-AKYLR,Month-to-month,DSL,Electronic check,54.8000,731.3000,2,13,1,1,0
0221-WMXNQ,Month-to-month,Fiber optic,Electronic check,75.3500,273.4000,2,4,0,1,0
0303-UNCIP,One year,DSL,Mailed check,65.0000,2531.8000,2,41,0,0,0
9947-OTFQU,Month-to-month,Fiber optic,Electronic check,74.4000,1074.3000,3,15,1,1,1
0322-YINQP,Month-to-month,DSL,Mailed check,48.5500,48.5500,2,1,1,0,1
0959-WHOKV,One year,Fiber optic,Electronic check,99.0000,4298.4500,1,42,1,0,0
4075-JFPGR,One year,Fiber optic,Electronic check,93.5000,4619.5500,1,51,1,0,0
4629-NRXKX,Month-to-month,Fiber optic,Electronic check,70.4000,147.1500,3,2,0,0,1
9514-JDSKI,Month-to-month,DSL,Electronic check,40.2000,40.2000,3,1,0,1,1
3282-ZISZV,One year,DSL,Credit card (automatic),83.7000,2633.3000,1,32,0,0,0
3675-YDUPJ,Month-to-month,No,Mailed check,19.8500,193.0500,0,10,1,0,0
4111-BNXIF,Two year,DSL,Electronic check,59.5500,4103.9000,1,67,1,0,0
7017-VFHAY,Two year,Fiber optic,Credit card (automatic),115.1000,7008.1500,0,61,0,0,0
6655-LHBYW,One year,Fiber optic,Credit card (automatic),114.3500,5791.1000,0,50,0,0,0
4959-JOSRX,Month-to-month,DSL,Credit card (automatic),44.6000,80.5500,3,2,1,0,1
5046-NUHWD,Month-to-month,DSL,Electronic check,45.0000,1228.6500,1,29,1,1,0
7273-TEFQD,Month-to-month,DSL,Electronic check,41.1500,132.2000,2,3,1,1,1
3606-TWKGI,Month-to-month,Fiber optic,Electronic check,106.9000,1364.3000,2,13,1,1,1
7529-ZDFXI,Month-to-month,Fiber optic,Electronic check,89.8500,4925.3500,3,57,1,1,0
7605-BDWDC,Two year,DSL,Bank transfer (automatic),49.8500,1520.1000,1,31,1,0,0
1950-KSVVJ,One year,Fiber optic,Mailed check,113.3000,5032.2500,0,45,0,0,0
0123-CRBRT,Two year,DSL,Mailed check,88.1000,5526.7500,0,61,0,0,0
6292-TOSSS,Two year,No,Bank transfer (automatic),24.9000,1195.2500,0,50,0,0,0
3197-ARFOY,Month-to-month,Fiber optic,Mailed check,105.0000,2007.2500,1,19,1,1,0
6323-AYBRX,Two year,No,Mailed check,19.3500,1099.6000,0,59,0,0,1
7014-ZZXAW,Two year,No,Credit card (automatic),24.2500,1732.9500,0,71,1,0,0
4385-GZQXV,Month-to-month,Fiber optic,Electronic check,94.4500,1511.2000,2,16,1,1,1
7633-MVPUY,Two year,DSL,Electronic check,59.7500,3450.1500,1,57,1,0,0
6366-ZGQGL,Month-to-month,DSL,Bank transfer (automatic),24.8000,24.8000,3,1,0,0,1
4716-HHKQH,Month-to-month,Fiber optic,Electronic check,107.0500,2172.0500,2,20,0,1,0
5940-AHUHD,Month-to-month,Fiber optic,Mailed check,70.6000,70.6000,3,1,0,0,1
6432-TWQLB,Month-to-month,Fiber optic,Electronic check,85.4000,401.1000,2,5,1,0,1
4484-GLZOU,Month-to-month,Fiber optic,Electronic check,105.0500,5624.8500,2,52,1,0,1
3179-GBRWV,Month-to-month,DSL,Bank transfer (automatic),64.9500,1339.8000,2,21,1,1,0
8645-KWHJO,Month-to-month,DSL,Electronic check,55.0000,771.9500,1,14,1,0,0
4130-MZLCC,Month-to-month,DSL,Bank transfer (automatic),50.5500,244.7500,3,5,0,0,0
0314-TKOSI,Month-to-month,DSL,Mailed check,55.1500,322.9000,2,6,0,0,0
8229-MYEJZ,Month-to-month,DSL,Electronic check,51.2000,498.2500,3,10,0,0,0
2080-SRCDE,Month-to-month,No,Mailed check,25.4000,25.4000,0,1,0,0,0
9577-WJVCQ,Month-to-month,DSL,Mailed check,54.4500,3687.7500,2,68,0,0,0
9512-UIBFX,Month-to-month,Fiber optic,Mailed check,95.1500,1779.9500,2,18,0,0,1
6202-DYYFX,One year,Fiber optic,Credit card (automatic),76.0000,1783.6000,3,22,1,0,0
3808-HFKDE,Month-to-month,DSL,Electronic check,44.3500,927.1500,3,20,1,0,0
5583-SXDAG,Month-to-month,Fiber optic,Electronic check,70.0000,70.0000,3,1,0,0,1
3488-PGMQJ,Month-to-month,Fiber optic,Electronic check,74.5000,606.5500,3,8,1,1,1
3580-REOAC,Month-to-month,DSL,Credit card (automatic),44.8500,435.4000,3,10,1,0,1
